Name	NumReads
GQ67_00345	539
GQ67_00346	420
GQ67_00347	172
GQ67_00348	0
GQ67_00349	7280
GQ67_00350	20
GQ67_00351	547
GQ67_00352	14
GQ67_00354	47
GQ67_00355	62.232
GQ67_00356	23.768
GQ67_00357	19
GQ67_00358	33
GQ67_00359	107
GQ67_00360	877
GQ67_00361	56
GQ67_00362	228
GQ67_00363	480
GQ67_00364	78
GQ67_00365	138
GQ67_00366	17
GQ67_00367	5
GQ67_00368	11
GQ67_00369	22.722
GQ67_00370	60.278
GQ67_00371	77.925
GQ67_00372	3.075
GQ67_00373	471
GQ67_00374	8
GQ67_00375	3
GQ67_00376	193
GQ67_00377	62
GQ67_00378	20
GQ67_00379	303
GQ67_00380	202
GQ67_00381	0
GQ67_00382	28
GQ67_00383	38
GQ67_00384	85
GQ67_00385	30
GQ67_00386	10
GQ67_00387	14
GQ67_00388	30
GQ67_00389	267
GQ67_00390	15
GQ67_00391	1212
GQ67_00392	54
GQ67_00393	537
GQ67_00394	42
GQ67_00395	92
GQ67_00396	85
GQ67_00397	868
GQ67_00398	132
GQ67_00399	962
GQ67_00400	619
GQ67_00401	283
GQ67_00402	424
GQ67_00403	20
GQ67_00404	75
GQ67_00405	57
GQ67_00406	8
GQ67_00407	43
GQ67_00408	4
GQ67_00409	27
GQ67_00410	3
GQ67_00411	9.82
GQ67_00412	8.18
GQ67_00413	14
GQ67_00414	2
GQ67_00415	58
GQ67_00416	380
GQ67_00418	16
GQ67_00419	1
GQ67_00420	18
GQ67_00421	17
GQ67_00422	142
GQ67_00423	0
GQ67_00424	0
GQ67_00425	34
GQ67_00426	66
GQ67_00427	29
GQ67_00428	1
GQ67_00429	31
GQ67_00430	6
GQ67_00431	33
GQ67_00432	1416
GQ67_00433	49
GQ67_00434	40
GQ67_00435	33
GQ67_00436	26.975
GQ67_00437	13.025
GQ67_00438	61
GQ67_00439	15.715
GQ67_00440	4.285
GQ67_00441	26
GQ67_00442	15
GQ67_00443	240
GQ67_00444	304
GQ67_00445	45
GQ67_00446	33.844
GQ67_00447	74.156
GQ67_00448	7
GQ67_00449	17
GQ67_00450	26.417
GQ67_00451	72.583
GQ67_00452	99
GQ67_00453	537.225
GQ67_00454	24.775
GQ67_00455	125.928
GQ67_00456	344.072
GQ67_00457	61
GQ67_00458	24.811
GQ67_00459	14.189
GQ67_00460	36
GQ67_00461	51
GQ67_00462	17
GQ67_00463	115
GQ67_00464	466
GQ67_00465	61
GQ67_00466	33.02
GQ67_00467	340.98
GQ67_00468	17
GQ67_00469	452
GQ67_00470	390
GQ67_00471	18
GQ67_00472	106
GQ67_00473	11
GQ67_00474	30
GQ67_00475	13
GQ67_00476	44
GQ67_00477	56
GQ67_00478	25
GQ67_00479	30
GQ67_00480	321
GQ67_00481	11
GQ67_00482	6
GQ67_00483	9693
GQ67_00484	17.522
GQ67_00485	3.478
GQ67_00486	18.348
GQ67_00487	65.652
GQ67_00488	20.341
GQ67_00489	12.659
GQ67_00490	24
GQ67_00491	19
GQ67_00492	10
GQ67_00493	97
GQ67_00494	1486
GQ67_00495	9
GQ67_00496	79
GQ67_00497	169
GQ67_00498	46
GQ67_00499	211
GQ67_00500	86.322
GQ67_00501	37.678
GQ67_00502	60
GQ67_00503	15
GQ67_00504	172
GQ67_00505	10
GQ67_00506	19
GQ67_00507	200
GQ67_00508	6
GQ67_00509	61
GQ67_00510	110
GQ67_00511	58
GQ67_00513	18
GQ67_00514	20
GQ67_00515	688
GQ67_00516	5
GQ67_00517	0
GQ67_00518	6
GQ67_00519	16316
GQ67_00520	84
GQ67_00521	21
GQ67_00522	23
GQ67_00523	11
GQ67_00524	46
GQ67_00525	35
GQ67_00526	274.32
GQ67_00527	487.68
GQ67_00528	144
GQ67_00529	56
GQ67_00530	37
GQ67_00531	787
GQ67_00532	63
GQ67_00533	49
GQ67_00534	65
GQ67_00535	28
GQ67_00536	770
GQ67_00537	17
GQ67_00538	222
GQ67_00539	39
GQ67_00540	64
GQ67_00541	16
GQ67_00542	117
GQ67_00543	66
GQ67_00544	4
GQ67_00545	33
GQ67_00546	5
GQ67_00547	32
GQ67_00548	585
GQ67_00549	11
GQ67_00550	2060
GQ67_00551	21
GQ67_00553	23
GQ67_00554	3854.902
GQ67_00555	12
GQ67_00556	20
GQ67_00557	29
GQ67_00558	4
